source,target
1223978,5039184
1223978,5264104
1223978,5290410
1223978,5416564
1223978,5477408
1223978,5727000
1223978,5803144
1223978,6531614
1223978,6670914
1223978,6671181
1223978,6887477
1223978,6911742
1223978,6947374
1223978,7101376
1223978,7234587
1223978,7245961
1223978,7297781
1223978,7307941
1223978,7321046
1223978,7426575
1223978,7437003
1223978,7446950
1223978,7475614
1223978,7693825
1223978,7715248
1223978,7732526
1223978,7755063
1223978,786023
1223978,810014
1223978,832283
1223978,8507525
1223978,8568821
1223978,8621490
1223978,8712692
1223978,8916667
1223978,8970857
1223978,8970960
1223978,9019016
1223978,902641
1223978,9094689
1223978,9096268
1223978,9102775
1223978,951578
1223978,989012
1223978,9907733
12290248,12301487
12290248,13372650
12290248,13730932
12290248,13759894
12290248,13760826
12290248,13772089
12290248,13783640
12290248,13783843
12290248,13794057
12290248,13794457
12290248,13806133
12290248,13836647
12290248,13886297
12290248,13911686
12290248,13912008
12290248,13912866
12290248,13961465
12290248,15066663
12290248,15108599
12290248,15145874
12290248,15208289
12290248,15393805
12290248,15394603
12290248,15417421
12290248,15458568
12290248,15533729
12290248,15545880
12290248,15583445
12290248,15583631
12290248,15624992
12290248,9102775
12301487,13372650
12301487,13730932
12301487,13759894
12301487,13760826
12301487,13772089
12301487,13783640
12301487,13783843
12301487,13794057
12301487,13794457
12301487,13806133
12301487,13836647
12301487,13886297
12301487,13911686
12301487,13912008
12301487,13912866
12301487,13961465
12301487,15066663
12301487,15108599
12301487,15145874
12301487,15208289
12301487,15393805
12301487,15394603
12301487,15417421
12301487,15458568
12301487,15533729
12301487,15545880
12301487,15583445
12301487,15583631
12301487,15624992
12301487,9102775
1284421,10486406
1284421,10560981
1284421,10591229
1284421,10592433
1284421,10633779
1284421,10715025
1284421,10872085
1284421,11901354
1284421,11905998
1284421,11912689
1284421,11955077
1284421,11955118
1284421,12077872
1284421,12097244
1284421,12149481
1284421,12149789
1284421,12159845
1284421,12290248
1284421,12301487
1284421,13372650
1284421,13730932
1284421,13759894
1284421,13760826
1284421,13772089
1284421,13783640
1284421,13783843
1284421,13794057
1284421,13794457
1284421,13806133
1284421,13836647
1284421,13886297
1284421,13911686
1284421,13912008
1284421,13912866
1284421,13961465
1284421,14054103
1284421,15066663
1284421,15108599
1284421,15145874
1284421,15208289
1284421,15393805
1284421,15394603
1284421,15417421
1284421,15458568
1284421,15533729
1284421,15545880
1284421,15583445
1284421,15583631
1284421,15624992
1284421,15882889
1284421,2184122
1284421,2227803
1284421,2369881
1284421,2380718
1284421,2457481
1284421,2505604
1284421,2562238
1284421,2565041
1284421,2571779
1284421,2611264
1284421,2650532
1284421,3643305
1284421,3704508
1284421,3991079
1284421,399136
1284421,3991469
1284421,3992451
1284421,4031613
1284421,4055167
1284421,4066976
1284421,4156395
1284421,4194030
1284421,4194673
1284421,4204550
1284421,4508954
1284421,5039184
1284421,5264104
1284421,5290410
1284421,5416564
1284421,5477408
1284421,5727000
1284421,5803144
1284421,6531614
1284421,6670914
1284421,6671181
1284421,6887477
1284421,6911742
1284421,6947374
1284421,7101376
1284421,7234587
1284421,7245961
1284421,7297781
1284421,7307941
1284421,7321046
1284421,7426575
1284421,7437003
1284421,7446950
1284421,7475614
1284421,7693825
1284421,7715248
1284421,7732526
1284421,7755063
1284421,786023
1284421,810014
1284421,832283
1284421,8507525
1284421,8568821
1284421,8621490
1284421,8712692
1284421,8916667
1284421,8970857
1284421,8970960
1284421,9019016
1284421,902641
1284421,9094689
1284421,9096268
1284421,9102775
1284421,951578
1284421,989012
1284421,9907733
13372650,13730932
13372650,13759894
13372650,13760826
13372650,13772089
13372650,13783640
13372650,13783843
13372650,13794057
13372650,13794457
13372650,13806133
13372650,13836647
13372650,13886297
13372650,13911686
13372650,13912008
13372650,13912866
13372650,13961465
13372650,15066663
13372650,15108599
13372650,15145874
13372650,15208289
13372650,15393805
13372650,15394603
13372650,15417421
13372650,15458568
13372650,15533729
13372650,15545880
13372650,15583445
13372650,15583631
13372650,15624992
13372650,9102775
13730932,13759894
13730932,13760826
13730932,13772089
13730932,13783640
13730932,13783843
13730932,13794057
13730932,13794457
13730932,13806133
13730932,13836647
13730932,13886297
13730932,13911686
13730932,13912008
13730932,13912866
13730932,13961465
13730932,15066663
13730932,15108599
13730932,15145874
13730932,15208289
13730932,15393805
13730932,15394603
13730932,15417421
13730932,15458568
13730932,15533729
13730932,15545880
13730932,15583445
13730932,15583631
13730932,15624992
13730932,9102775
13759894,13760826
13759894,13772089
13759894,13783640
13759894,13783843
13759894,13794057
13759894,13794457
13759894,13806133
13759894,13836647
13759894,13886297
13759894,13911686
13759894,13912008
13759894,13912866
13759894,13961465
13759894,15066663
13759894,15108599
13759894,15145874
13759894,15208289
13759894,15393805
13759894,15394603
13759894,15417421
13759894,15458568
13759894,15533729
13759894,15545880
13759894,15583445
13759894,15583631
13759894,15624992
13759894,9102775
13760826,13772089
13760826,13783640
13760826,13783843
13760826,13794057
13760826,13794457
13760826,13806133
13760826,13836647
13760826,13886297
13760826,13911686
13760826,13912008
13760826,13912866
13760826,13961465
13760826,15066663
13760826,15108599
13760826,15145874
13760826,15208289
13760826,15393805
13760826,15394603
13760826,15417421
13760826,15458568
13760826,15533729
13760826,15545880
13760826,15583445
13760826,15583631
13760826,15624992
13760826,9102775
13772089,13783640
13772089,13783843
13772089,13794057
13772089,13794457
13772089,13806133
13772089,13836647
13772089,13886297
13772089,13911686
13772089,13912008
13772089,13912866
13772089,13961465
13772089,15066663
13772089,15108599
13772089,15145874
13772089,15208289
13772089,15393805
13772089,15394603
13772089,15417421
13772089,15458568
13772089,15533729
13772089,15545880
13772089,15583445
13772089,15583631
